No.001, 다음과 같은 기중기는 무엇을 이용한 것인지 쓰시오., 전자석, 하, 전자석,
No.172, 다음 중 에너지 때문에 일어나는 현상이 아닌 것은 어느 것입니까?, 5, 하, 에너지의 특징,
No.177, 다음 중 에너지를 절약하는 방법이 아닌 것은 어느 것입니까?, 1, 하, 에너지 절약,
No.178, 다음 (   ) 안에 들어갈 알맞은 말을 쓰시오., 힘점, 하, 지레,
No.179, 다음 (   ) 안에 들어갈 알맞은 말을 쓰시오., 받침점, 하, 지레,
No.180, 다음 (   ) 안에 들어갈 알맞은 말을 쓰시오., 작용점, 하, 지레,
No.184, 다음 중 움직 도르래에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 5, 하, 도르래,
No.186, 다음과 같이 기울기가 다른 경사면에서 용수철로 실험용 수레를 끌어 올리는 실험을 하였습니다. 수레를 이동시키는 동안 필요한 힘의 크기를 비교하여 힘의 크기가 더 큰 곳의 기호를 쓰시오., B, 하, 경사면,
No.192, 헤어드라이어를 켰을 때 전기 에너지가 전환된 에너지의 종류를 고르시오., 1, 하, 에너지 전환,
No.196, 다음 중 전기 에너지가 위치 에너지와 운동 에너지로 전환되는 것은 어느 것인지 기호를 쓰시오., C, 하, 에너지 전환,
No.197, 다음 중 에너지를 절약하는 방법이 아닌 것은 어느 것입니까?, 4, 하, 에너지 절약,
No.202, 오른쪽 도구에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 4, 하, 지레,
No.203, 다음은 지레의 원리를 이용한 가위의 모습입니다. 힘점(●) 작용점(■) 받침점(▲)을 바르게 표시한 것은 어느 것입니까?, 1, 하, 지레,
No.206, 다음 중 고정 도르래에 대한 설명으로 옳지 않은 것은 어느 것입니까?, 2, 하, 도르래,
No.208, 다음과 같이 같은 무게의 물체를 직접 들어 올리거나 경사면을 이용하여 끌어 올릴 때 용수철의 길이가 더 길게 늘어난 것은 어느 것인지 기호를 쓰시오., A, 하, 경사면,
No.210, 다음 중 위치 에너지에 대한 설명으로 옳은 것은 어느 것입니까?, 5, 하, 에너지의 특징,
No.211, 다음 중 빛에너지를 가지고 있는 것은 어느 것인지 골라 기호를 쓰시오., B, 하, 에너지의 특징,
No.217, 수력 발전은 환경 오염이 적은 대체 에너지입니다. 다음의 ㉠에 들어갈 알맞은 말을 쓰시오., 위치, 하, 에너지 전환,
No.218, 수력 발전은 환경 오염이 적은 대체 에너지입니다. 다음의 ㉡에 들어갈 알맞은 말을 쓰시오., 전기, 하, 에너지 전환,
No.220, 다음 중 양이 한정되어 있는 에너지 자원으로만 바르게 짝지어진 것은 어느 것입니까?, 4, 하, 에너지 절약,
No.221, 다음 빈칸 안에 들어갈 알맞은 말을 쓰시오., 작용점, 하, 지레,
No.222, 다음에서 어느 부분에 힘을 주면 가장 작은 힘으로 무거운 돌을 들어 올릴 수 있는지 기호를 쓰시오., D, 하, 지레,
No.228, 다음 중 고정 도르래와 움직 도르래를 함께 사용하면 좋은 점으로 옳은 것은 어느 것입니까?, 5, 하, 도르래,
No.230, 다음 (   ) 안에 들어갈 알맞은 말을 쓰시오., 완만, 하, 경사면,
No.232, 다음의 장난감 자동차는 어떤 에너지를 이용하여 움직입니까?, 5, 하, 에너지의 특징,
No.238, 다음 보기 에서 손바닥을 서로 비빌 때 에너지의 종류가 전환되는 과정으로 옳은 것을 골라 기호를 쓰시오., C, 하, 에너지 전환,
No.240, 다음의 우리 주변에서 에너지 전환이 이용되는 예 중 종류가 다른 하나는 어느 것입니까?, 1, 하, 에너지 전환,
No.243, 다음에서 받침점의 역할을 하는 부분의 기호를 쓰시오., A, 하, 지레,
No.247, 다음 보기 에서 물체를 옮길 때 힘을 적게 들이기 위하여 도구를 사용한 예를 골라 기호를 쓰시오., B, 하, 경사면,
No.249, 벽돌 쌓은 후 널빤지를 올려서 만든 경사면으로 물건을 끌어 올렸습니다. 벽돌을 몇 개 쌓았을 때 필요한 힘이 가장 작습니까?, 1, 하, 경사면,
